In the Bleak Midwinter (1995),Comedy|Drama,1.0
Man of the Year (1995),Documentary,1.0
Dangerous Game (1993),Drama,1.0
In the Army Now (1994),Comedy|War,1.0
"Savage Nights (Nuits fauves, Les) (1992)",Drama,1.0
"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama,1.0
"Flower of My Secret, The (La flor de mi secreto) (1995)",Comedy|Drama,1.0
"Superweib, Das (1996)",Comedy,1.0
Joe's Apartment (1996),Comedy|Fantasy|Musical,1.0
"Yes, Madam (a.k.a. Police Assassins) (a.k.a. In the Line of Duty 2) (H",Action,1.0
Dangerous Ground (1997),Drama,1.0
T-Men (1947),Film-Noir,1.0
2 ou 3 choses que je sais d'elle (2 or 3 Things I Know About Her) (196,Drama,1.0
Santa with Muscles (1996),Comedy,0.5
Amityville: Dollhouse (1996),Horror,1.0
Amityville: A New Generation (1993),Horror,1.0
"Amityville Curse, The (1990)",Horror,1.0
B*A*P*S (1997),Comedy,0.75
Turbo: A Power Rangers Movie (1997),Action|Adventure|Children,1.0
Twin Town (1997),Comedy|Crime,1.0
When the Cat's Away (Chacun cherche son chat) (1996),Comedy|Romance,1.0
Leave It to Beaver (1997),Comedy,1.0
Stag (1997),Action|Thriller,1.0
How to Be a Player (1997),Comedy,1.0
Mr. Magoo (1997),Comedy,1.0
3 Ninjas: High Noon On Mega Mountain (1998),Action|Children|Comedy,0.75
Barney's Great Adventure (1998),Adventure|Children,0.75
Dream for an Insomniac (1996),Drama|Romance,1.0
"This World, Then the Fireworks (1997)",Crime|Drama|Film-Noir,1.0
"Seventh Heaven (Septième ciel, Le) (1997)",Drama|Romance,1.0
Surf Nazis Must Die (1987),Action|Comedy|Drama|Horror,1.0
"Merry War, A (1997)",Comedy,0.5
Breakfast of Champions (1999),Comedy|Sci-Fi,1.0
Children of the Corn III (1994),Horror,0.75
"Rage: Carrie 2, The (1999)",Horror,1.125
Baby Geniuses (1999),Comedy,0.875
Whiteboyz (1999),Comedy|Drama,0.5
"Separation, The (Séparation, La) (1994)",Drama,1.0
Dog Park (1998),Comedy|Romance,1.0
Train of Life (Train de vie) (1998),Comedy|Drama|Romance|War,1.0
Meatballs 4 (1992),Comedy,1.0
Experience Preferred... But Not Essential (1982),Drama,1.0
Supernova (2000),Adventure|Sci-Fi|Thriller,1.0
Gun Shy (2000),Comedy,1.0
Black Tar Heroin: The Dark End of the Street (2000),Documentary,1.0
For All Mankind (1989),Documentary,1.0
Death Wish 3 (1985),Action|Drama,1.0
Last Resort (National Lampoon's Last Resort) (1994),Comedy,1.0
Carnosaur 3: Primal Species (1996),Horror|Sci-Fi,0.75
Screwed (2000),Comedy,1.0
Thomas and the Magic Railroad (2000),Children,1.0
Phantasm IV: Oblivion (1998),Horror,1.0
Catfish in Black Bean Sauce (2000),Comedy|Drama,0.5
Turn It Up (2000),Crime|Drama,1.0
"Killer Shrews, The (1959)",Horror|Sci-Fi,0.5
Nowhere to Hide (Injeong sajeong bol geot eobtda) (1999),Action|Comedy|Crime|Thriller,1.0
Horrors of Spider Island (Ein Toter Hing im Netz) (1960),Horror|Sci-Fi,0.5
"Invisible Circus, The (2001)",Drama|Romance,1.0
Barfly (1987),Comedy|Drama|Romance,1.0
Ernest Goes to Camp (1987),Comedy,0.75
See Spot Run (2001),Comedy,1.0
Unmade Beds (1997),Documentary,1.0
Revenge of the Nerds II: Nerds in Paradise (1987),Comedy,1.0
Driven (2001),Action|Thriller,0.8333333333333334
Forgotten Silver (1996),Comedy|Documentary,1.0
"Diary of a Chambermaid (Journal d'une femme de chambre, Le) (1964)",Comedy|Drama,1.0
Arthur 2: On the Rocks (1988),Comedy|Romance,0.5
Big Top Pee-Wee (1988),Adventure|Children|Comedy,1.0
Ernest Saves Christmas (1988),Children|Comedy,1.1666666666666667
Salome's Last Dance (1988),Comedy|Drama,1.0
Vice Versa (1988),Comedy,1.0
Best of the Best 2 (1993),Action,1.0
"Experts, The (1989)",Comedy,1.0
How to Get Ahead in Advertising (1989),Comedy|Fantasy,1.0
Last Exit to Brooklyn (1989),Drama,1.0
Tap (1989),Drama,1.0
Worth Winning (1989),Comedy,0.5
Billy Liar (1963),Comedy,1.0
Bad Timing: A Sensual Obsession (1980),Drama,1.0
Summer Catch (2001),Comedy|Drama|Romance,1.0
Vamp (1986),Comedy|Horror,0.5
Glitter (2001),Drama|Musical|Romance,1.0
Kansas (1988),Crime|Drama,1.0
On the Line (2001),Comedy|Romance,1.0
Thirteen Ghosts (a.k.a. Thir13en Ghosts) (2001),Horror|Thriller,1.125
Morgan! (1966),Comedy|Drama|Fantasy,1.0
Forbidden Zone (1980),Musical|Sci-Fi,1.0
Rollerball (2002),Action|Sci-Fi,1.0
Funny Lady (1975),Comedy|Musical,0.5
Pauline & Paulette (Pauline en Paulette) (2001),Comedy|Drama,1.0
Promises (2001),Documentary,1.0
Barabbas (1961),Adventure|Drama,1.0
"Tale of Springtime, A (Conte de Printemps) (1990)",Drama|Romance,1.0
Fraternity Vacation (1985),Comedy|Romance,0.5
The Big Sleep (1978),Thriller,1.0
"Giant Spider Invasion, The (1975)",Horror|Sci-Fi,0.5
"New Guy, The (2002)",Comedy,1.0
Whore (1991),Drama,1.0
"Gambler, The (1974)",Drama,1.0
Zombie Holocaust (a.k.a. Doctor Butcher M.D.) (Zombi Holocaust) (1980),Horror,0.5
Like Mike (2002),Children|Comedy|Fantasy,1.0
My Wife is an Actress (Ma Femme est une Actrice) (2001),Comedy|Drama|Romance,1.0
"Last Kiss, The (Ultimo bacio, L') (2001)",Comedy|Drama|Romance,1.0
Read My Lips (Sur mes lèvres) (2001),Crime|Drama|Thriller,1.0
Nightcap (Merci pour le chocolat) (2000),Crime|Thriller,1.0
"Principal, The (1987)",Action|Crime|Drama,0.5
How I Killed My Father (a.k.a. My Father and I) (Comment j'ai tué mon ,Drama,1.0
FearDotCom (a.k.a. Fear.com) (a.k.a. Fear Dot Com) (2002),Crime|Horror|Thriller,1.0
Alias Betty (Betty Fisher et autres histoires) (2001),Crime|Drama,1.0
Ernest Scared Stupid (1991),Comedy,1.0
Pokemon 4 Ever (a.k.a. Pokémon 4: The Movie) (2002),Adventure|Animation|Children|Fantasy,0.5
The Pumaman (1980),Action|Adventure|Fantasy|Sci-Fi,0.75
All or Nothing (2002),Drama,1.0
Half Past Dead (2002),Action|Crime|Thriller,1.0
Left Behind II: Tribulation Force (2002),Drama,0.75
Road Games (a.k.a. Roadgames) (1981),Thriller,0.5
So Fine (1981),Comedy,1.0
"Tarzan, the Ape Man (1981)",Adventure,0.5
Extreme Ops (2002),Action|Adventure|Crime|Thriller,0.75
"Bolero (Uns et les autres, Les) (1981)",Drama|War,1.0
Just Married (2003),Comedy|Romance,1.0
"Guy Thing, A (2003)",Comedy|Romance,1.0
National Security (2003),Action|Comedy,1.0
One from the Heart (1982),Drama|Romance,0.5
Deliver Us from Eva (2003),Comedy|Romance,1.0
DysFunktional Family (2003),Comedy|Documentary,0.5
Malibu's Most Wanted (2003),Comedy|Crime,0.5
Beginning of the End (1957),Sci-Fi,1.0
"6th Man, The (Sixth Man, The) (1997)",Comedy,1.0
Ring of Terror (1962),Horror,0.5
"Hour of the Pig, The (1993)",Crime|Drama|Mystery,1.0
Northfork (2003),Drama|Fantasy,1.0
Spy Kids 3-D: Game Over (2003),Action|Adventure|Children,0.5
Gigli (2003),Comedy|Crime|Romance,1.0
...And God Spoke (1993),Comedy,1.0
"Green Ray, The (Rayon vert, Le) (1986)",Drama|Romance,0.5
"Angel at My Table, An (1990)",Drama,0.5
Cold Creek Manor (2003),Drama|Thriller,0.5
Dorm Daze (National Lampoon Presents Dorm Daze) (2003),Comedy,1.0
"Shakiest Gun in the West, The (1968)",Comedy|Western,1.0
"House of the Dead, The (2003)",Action|Horror,0.5
Dopamine (2003),Comedy|Drama|Romance,1.0
In the Cut (2003),Crime|Drama|Mystery|Romance|Thriller,1.0
Hercules in New York (1970),Action|Comedy|Fantasy,1.0
Over the Top (1987),Action|Drama,1.0
"Front Page, The (1974)",Comedy,0.5
Melvin Goes to Dinner (2003),Comedy|Drama,1.0
Hells Angels on Wheels (1967),Drama,0.5
Tormented (1960),Horror|Thriller,1.0
"Hip Hop Witch, Da (2000)",Comedy|Horror|Thriller,0.5
"Follow Me, Boys! (1966)",Comedy|Drama,0.5
Envy (2004),Comedy,0.5
Raising Cain (1992),Horror|Thriller,1.0
Nostalghia (1983),Drama,1.0
Indestructible Man (1956),Crime|Horror|Sci-Fi,0.5
Mitchell (1975),Action|Crime,0.5
This Island Earth (1955),Sci-Fi,1.0
Two of a Kind (1983),Comedy|Fantasy|Romance,1.0
Roadkill (a.k.a. Roadkill: Move or Die) (1989),Drama,0.5
Yu-Gi-Oh! (2004),Action|Adventure|Animation|Fantasy,0.5
Without a Paddle (2004),Comedy,1.0
SuperBabies: Baby Geniuses 2 (2004),Comedy,0.5
All I Want for Christmas (1991),Children|Comedy|Romance,1.0
It's All About Love (2003),Drama|Romance|Sci-Fi|Thriller,0.5
"Golem, The (Golem, wie er in die Welt kam, Der) (1920)",Fantasy|Horror,0.5
Libeled Lady (1936),Comedy|Romance,0.5
Henry V (Chronicle History of King Henry the Fift with His Battell Fou,Drama|War,0.5
"Burmese Harp, The (Biruma no tategoto) (1956)",Drama|War,0.5
Manos: The Hands of Fate (1966),Horror,0.5
"Heart Is a Lonely Hunter, The (1968)",Drama,0.5
"Clonus Horror, The (1979)",Horror|Sci-Fi,1.0
"Luna, La (1979)",Drama,1.0
"Day After, The (1983)",Drama|Sci-Fi,1.0
Rumble Fish (1983),Drama,0.5
Spiral (2000),Horror,1.0
"Tunnel, The (Tunnel, Der) (2001)",Action|Drama|Thriller,0.5
Cube 2: Hypercube (2002),Horror|Mystery|Sci-Fi,1.0
Bring It On Again (2004),Comedy,1.0
Crimson Rivers 2: Angels of the Apocalypse (Rivières pourpres II - Les,Action|Crime|Thriller,1.0
Ju-on: The Grudge 2 (2003),Horror,1.0
As it is in Heaven (Så som i himmelen) (2004),Drama|Musical|Romance,0.5
Beastmaster 2: Through the Portal of Time (1991),Action|Adventure|Fantasy|Sci-Fi,0.5
Boogeyman (2005),Drama|Horror|Mystery|Thriller,1.0
Pauly Shore Is Dead (2003),Comedy,1.0
The Boyfriend School (1990),Comedy|Romance,0.5
Once Upon a Forest (1993),Adventure|Animation|Children|Fantasy,0.5
National Lampoon's Lady Killers (National Lampoon's Gold Diggers) (200,Comedy,1.0
Waterloo Bridge (1940),Drama|Romance|War,0.5
xXx: State of the Union (2005),Action|Crime|Thriller,1.0
Parineeta (2005),Drama|Musical|Romance,1.0
200 Motels (1971),Comedy|Musical,1.0
Left Behind: World at War (2005),Drama,0.5
BloodRayne (2005),Action|Fantasy,1.0
Over the Edge (1979),Crime|Drama,1.0
"Omen, The (2006)",Horror|Thriller,1.0
"OH in Ohio, The (2006)",Comedy,0.5
Dirty Mary Crazy Larry (1974),Action|Crime|Drama|Romance,1.0
"Wicker Man, The (2006)",Horror|Mystery|Thriller,1.0
Crossover (2006),Action|Drama,0.5
Stormbreaker (Alex Rider: Operation Stormbreaker) (2006),Action|Children,0.5
"Grudge 2, The (2006)",Drama|Horror|Mystery|Thriller,0.5
"Elementary Particles, The (Elementarteilchen) (2006)",Drama|Romance,1.0
Lunacy (Sílení) (2006),Animation|Horror,1.0
"Santa Clause 3: The Escape Clause, The (2006)",Comedy|Fantasy,1.0
Karla (2006),Crime|Drama|Thriller,0.5
Breaking and Entering (2006),Drama,1.0
Red Dust (1932),Drama,0.5
"Night of the Generals, The (1967)",Crime|Drama|Mystery|Thriller|War,0.5
Bratz: The Movie (2007),Comedy,0.5
Daddy Day Camp (2007),Children|Comedy,0.5
Behind the Mask: The Rise of Leslie Vernon (2006),Comedy|Horror|Thriller,0.5
Smiley Face (2007),Comedy,1.0
Wrong Turn 2: Dead End (2007),Action|Horror|Thriller,1.0
D-War (Dragon Wars) (2007),Action|Adventure|Drama|Fantasy,0.5
Step Up 2 the Streets (2008),Drama|Musical|Romance,1.0
Witless Protection (2008),Comedy,0.5
100 Rifles (1969),Adventure|War|Western,0.5
"Rape of Europa, The (2006)",Documentary,0.5
Space Chimps (2008),Adventure|Animation|Comedy,1.0
"End of Summer, The (Early Autumn) (Kohayagawa-ke no aki) (1961)",Drama,0.5
Disaster Movie (2008),Comedy,0.5
Bangkok Dangerous (2008),Action|Crime|Thriller,0.5
Beverly Hills Chihuahua (2008),Adventure|Children|Comedy,0.5
Igor (2008),Animation|Comedy,1.0
"Devil's Chair, The (2006)",Horror,1.0
Starship Troopers 3: Marauder (2008),Action|Sci-Fi|War,1.0
Paul Blart: Mall Cop (2009),Action|Comedy|Crime,0.5
"Grudge 3, The (2009)",Horror,0.5
Tyler Perry's Madea Goes to Jail (2009),Comedy|Crime|Drama,0.5
Far Cry (2008),Action|Adventure|Drama,1.0
"Girlfriend Experience, The (2009)",Drama,1.0
Shall We Kiss? (Un baiser s'il vous plait) (2007),Comedy|Romance,0.5
Dance Flick (2009),Comedy|Musical,0.5
Year One (2009),Adventure|Comedy,1.0
Shiver (Eskalofrío) (2008),Horror|Thriller,0.5
'Neath the Arizona Skies (1934),Western,0.5
